timestamp,fx,fy,fz,tx,ty,tz
1581135134.221259746,-2.86032,4.47439,1.96488,2.62907,1.97844,0.144648
1581135134.227940278,-2.79347,4.28493,2.21957,2.55907,1.91392,0.153496
1581135134.234227673,-2.76136,4.12131,2.08905,2.51777,1.87688,0.158956
1581135134.241151091,-2.57196,3.6691,2.15165,2.37797,1.77471,0.168944
1581135134.247915971,-2.95396,3.72772,1.94254,2.44391,1.83166,0.164111
1581135134.255369048,-3.28514,3.93068,1.61329,2.51365,1.8806,0.159531
1581135134.262275477,-3.49002,4.1657,1.42563,2.58608,1.9206,0.154609
1581135134.268535644,-3.20335,4.26999,1.55266,2.61625,1.89259,0.154655
1581135134.275316686,-3.10382,4.34399,1.39461,2.63549,1.88461,0.155388
1581135134.319554411,-2.69249,5.00814,2.53536,2.87137,1.94821,0.162624
1581135134.326237345,-2.70327,5.01175,2.51213,2.87166,1.95647,0.16435
1581135134.334141821,-2.76872,4.92752,2.24258,2.84353,1.95371,0.164811
1581135134.340049605,-3.03175,4.91114,1.53261,2.87401,2.00547,0.164186
1581135134.346528842,-2.72318,4.75189,1.6217,2.81631,1.94842,0.167224
1581135134.354345601,-2.60297,4.54805,1.96388,2.7601,1.91281,0.173262
1581135134.361079246,-2.552,4.43919,2.07456,2.74212,1.90124,0.174504
1581135134.367990717,-2.65288,4.57883,2.15404,2.80112,1.93584,0.173472
1581135134.374328215,-2.88449,4.61082,2.07232,2.80815,1.95583,0.17234
1581135134.381252076,-2.46271,4.68032,2.39501,2.80468,1.89997,0.176858
1581135134.387550993,-2.43928,4.80887,2.54051,2.85418,1.91365,0.17227
1581135134.394289606,-2.54722,4.82751,2.6205,2.86354,1.92418,0.17044
1581135134.436535051,-2.92036,5.11767,2.75437,2.99275,2.01304,0.150282
1581135134.443278010,-3.11787,5.15988,2.61098,2.99737,2.03263,0.148173
1581135134.451120070,-2.81971,5.10521,2.73054,2.96668,1.98548,0.151047
1581135134.457583049,-2.80674,5.02986,2.51514,2.96658,1.98414,0.150259
1581135134.464504112,-2.79447,5.09039,2.29047,3.01128,2.00537,0.146277
1581135134.471289970,-3.10776,4.99058,2.13036,2.99214,2.02573,0.144802
1581135134.478204405,-3.11084,4.96357,2.15297,2.98218,2.01368,0.144865
1581135134.485044347,-2.91685,5.05143,2.1156,3.02093,2.01108,0.142721
1581135134.536120849,-3.00508,5.49674,2.55995,3.20905,2.08025,0.135298
1581135134.542431239,-2.96202,5.45762,2.82273,3.1902,2.06445,0.135672
1581135134.550207154,-3.13818,5.53279,2.56116,3.24924,2.11265,0.1299
1581135134.592731622,-3.05756,5.73029,2.21356,3.32996,2.13806,0.125116
1581135134.599637156,-2.99786,5.89867,2.53302,3.41186,2.14908,0.136244
