timestamp,pa1,pa2,pa3,pa4,pa5,pa6,pa7
1581138610.030587469,-0.145615,0.494063,0.234354,-1.19744,0.481534,-0.131052,-0.588461
1581138610.036997530,-0.145972,0.492073,0.234351,-1.20055,0.477062,-0.131905,-0.583665
1581138610.043689995,-0.146061,0.491599,0.234353,-1.20122,0.476076,-0.132076,-0.582599
1581138610.049920592,-0.14614,0.491176,0.234355,-1.20182,0.475218,-0.132207,-0.581673
1581138610.056766086,-0.146233,0.490665,0.234354,-1.20252,0.474212,-0.132345,-0.580575
1581138610.101610389,-0.146808,0.487485,0.234353,-1.20689,0.468135,-0.133481,-0.573962
1581138610.107961392,-0.14689,0.486989,0.234355,-1.20756,0.467195,-0.133714,-0.57294
1581138610.116456363,-0.14699,0.486375,0.234354,-1.20844,0.466022,-0.133995,-0.571652
1581138610.122740145,-0.147055,0.485984,0.234353,-1.20901,0.465259,-0.134145,-0.570772
1581138610.129814852,-0.14713,0.485541,0.234353,-1.20965,0.46435,-0.134286,-0.569774
1581138610.136548398,-0.147206,0.485087,0.234354,-1.2103,0.463437,-0.134421,-0.568742
1581138610.142946818,-0.147271,0.484696,0.234353,-1.21085,0.462668,-0.134531,-0.567879
1581138610.182583735,-0.147768,0.482158,0.234352,-1.21464,0.457418,-0.135458,-0.562008
1581138610.188912252,-0.147849,0.481737,0.234352,-1.21528,0.456536,-0.135633,-0.561004
1581138610.195867921,-0.147919,0.481378,0.234353,-1.21583,0.455784,-0.135785,-0.56017
1581138610.201880967,-0.147998,0.480948,0.234354,-1.21649,0.4549,-0.135965,-0.559184
1581138610.208494017,-0.148066,0.480568,0.234353,-1.21704,0.45414,-0.136108,-0.558378
1581138610.254644923,-0.148592,0.477794,0.234352,-1.2212,0.448489,-0.137293,-0.552255
1581138610.261412049,-0.148676,0.477362,0.234353,-1.22185,0.447608,-0.137552,-0.551296
1581138610.267875088,-0.148751,0.476986,0.234353,-1.2224,0.446868,-0.137742,-0.550487
1581138610.275074040,-0.148837,0.476548,0.234353,-1.22305,0.446015,-0.137914,-0.549522
1581138610.281708788,-0.148921,0.476106,0.234352,-1.22371,0.445153,-0.138066,-0.548567
1581138610.288828989,-0.149002,0.47567,0.234352,-1.22436,0.444306,-0.138196,-0.547612
1581138610.295835401,-0.149078,0.475226,0.234353,-1.22501,0.443464,-0.13832,-0.546665
1581138610.302403761,-0.149154,0.474783,0.234353,-1.22566,0.442623,-0.138447,-0.545713
1581138610.308949687,-0.149228,0.474343,0.234352,-1.22631,0.441778,-0.13857,-0.544771
1581138610.316718577,-0.149302,0.4739,0.234352,-1.22695,0.440947,-0.138691,-0.543822
1581138610.323501370,-0.149376,0.473462,0.234353,-1.2276,0.440125,-0.138821,-0.542879
1581138610.366651596,-0.149865,0.470808,0.234353,-1.23149,0.435149,-0.14005,-0.537222
1581138610.372838666,-0.149953,0.470369,0.234352,-1.23215,0.434335,-0.140222,-0.536301
1581138610.426680596,-0.150611,0.466973,0.234353,-1.23712,0.428053,-0.14156,-0.529378
1581138610.432824257,-0.150686,0.466592,0.234352,-1.23768,0.427367,-0.141693,-0.528613
1581138610.439785455,-0.150773,0.466157,0.234352,-1.23832,0.42656,-0.141845,-0.527708
1581138610.445906155,-0.150848,0.465785,0.234352,-1.23887,0.425872,-0.141972,-0.526947
1581138610.452689959,-0.150933,0.465341,0.234352,-1.23951,0.425073,-0.142103,-0.526044
1581138610.459071399,-0.151005,0.464952,0.234353,-1.24005,0.424404,-0.142206,-0.525281
1581138610.465747399,-0.151087,0.464507,0.234352,-1.2407,0.42362,-0.142334,-0.524391
1581138610.472489710,-0.151153,0.464132,0.234353,-1.24125,0.422945,-0.142444,-0.523627
1581138610.478780082,-0.151227,0.463699,0.234353,-1.24189,0.42217,-0.142574,-0.522739
