timestamp,ta1,ta2,ta3,ta4,ta5,ta6,ta7
1581157542.862410443,0.249484,48.3793,-1.85506,-22.6735,1.32673,1.0373,-0.293701
1581157542.868774396,0.432096,48.7599,-1.77172,-22.3199,1.3232,0.994914,-0.294035
1581157542.924357324,0.280348,51.3988,-1.98949,-23.0915,1.34961,0.891784,-0.294703
1581157542.932334837,0.298352,50.923,-1.97739,-23.023,1.36722,0.878101,-0.306384
1581157542.938777671,0.133744,49.9971,-2.01637,-22.8953,1.33113,0.873762,-0.318399
1581157542.945268553,0.01286,49.4878,-2.05267,-22.7716,1.38571,0.802339,-0.308053
1581157542.951684401,-0.1929,49.0506,-2.15214,-22.5511,1.35138,0.805677,-0.309388
1581157542.958276158,-0.311212,48.8423,-2.26506,-23.0808,1.38659,0.861079,-0.291365
1581157542.964663649,-0.241768,48.6133,-2.23549,-22.9275,1.3725,0.868756,-0.290364
1581157542.971268731,-0.146604,48.1632,-2.14946,-22.7797,1.36986,0.879436,-0.274678
1581157542.977484298,0.0874479,48.2558,-1.9868,-22.9571,1.34697,0.903466,-0.29003
1581157542.983723603,0.34722,48.6879,-1.88329,-23.0566,1.35666,0.929832,-0.27935
1581157542.990410529,0.465532,48.6442,-1.82684,-23.1036,1.32232,0.956532,-0.293034
1581157542.996626855,0.601848,48.5388,-1.79457,-22.6479,1.32232,0.934505,-0.291365
1581157543.039591232,0.195472,48.3999,-1.92631,-23.1224,1.39275,0.984234,-0.275345
1581157543.046418457,0.416664,48.6622,-1.86716,-23.0821,1.36194,0.981897,-0.281686
1581157543.052471435,0.47582,48.5773,-1.85641,-23.0176,1.38571,0.981897,-0.278683
1581157543.059399448,0.506684,48.4719,-1.88598,-22.7232,1.34961,0.96521,-0.29537
1581157543.065616177,0.403804,48.8628,-1.88867,-22.984,1.35402,0.983232,-0.289363
1581157543.072289971,0.285492,49.1843,-1.91824,-23.2609,1.35402,0.974221,-0.30605
1581157543.085280976,-0.074588,49.2512,-2.21129,-23.4518,1.33641,0.98657,-0.305383
1581157543.125162558,0.326644,48.5979,-1.99487,-22.992,1.34257,0.993579,-0.273343
1581157543.132368453,0.3215,48.3922,-1.95051,-22.8536,1.31792,0.993579,-0.286025
1581157543.138719922,0.1929,48.423,-1.94647,-22.8993,1.33993,0.993579,-0.283355
1581157543.145266868,-0.02572,48.297,-2.11854,-23.031,1.32584,1.0126,-0.296705
1581157543.188470763,0.164608,48.3999,-2.09703,-23.0794,1.32056,1.00927,-0.298708
1581157543.194691513,0.306068,48.6056,-1.97605,-23.1977,1.35842,1.00526,-0.28469
1581157543.202260529,0.393516,48.6622,-1.91287,-22.9705,1.31616,0.993913,-0.328412
1581157543.208622381,0.380656,48.549,-1.95454,-23.0714,1.32937,1.01327,-0.310389
1581157543.215292095,0.406376,48.351,-1.94513,-23.1345,1.35402,1.00393,-0.335087
1581157543.221664640,0.388372,48.2867,-1.96798,-23.0485,1.35666,1.02128,-0.321737
1581157543.228428236,0.37294,48.0552,-1.93975,-23.0861,1.35402,1.03296,-0.331749
1581157543.235703629,0.354936,48.2533,-1.89539,-23.269,1.3593,1.0363,-0.313393
1581157543.273605359,0.15432,48.1787,-2.0688,-23.1413,1.34345,1.02161,-0.286359
1581157543.280203181,0.131172,48.0732,-2.10375,-23.1063,1.37691,1.00126,-0.285358
1581157543.286371710,0.213476,47.9549,-2.0446,-23.0512,1.40332,0.992244,-0.283355
1581157543.292464100,0.221192,48.0887,-1.98008,-22.9625,1.37338,0.985569,-0.299042
1581157543.335685397,0.213476,48.1118,-2.0567,-23.0767,1.35754,1.03229,-0.275345
1581157543.342364400,0.236624,47.7646,-2.06746,-23.0283,1.3637,1.04131,-0.268003
1581157543.349088364,0.288064,47.7517,-2.00696,-22.8254,1.34521,1.01928,-0.278349
1581157543.355404267,0.370368,47.6617,-1.92362,-23.0902,1.37603,1.01995,-0.285358
1581157543.362310291,0.403804,47.9472,-1.93841,-23.2488,1.35138,1.03463,-0.28736
1581157543.368549592,0.324072,47.4431,-1.95857,-22.9692,1.33905,1.01761,-0.308053
1581157543.375206469,0.288064,47.209,-1.98277,-22.8522,1.38131,1.00693,-0.29537
1581157543.381554734,0.23148,47.4714,-1.99756,-23.1359,1.36546,0.994246,-0.304048
1581157543.388191865,0.131172,47.9703,-2.05536,-23.2609,1.37779,1.01995,-0.300377
1581157543.394471415,0.03858,48.0707,-2.14139,-23.1601,1.33905,1.02061,-0.290698
1581157543.401042928,-0.002572,47.9909,-2.19919,-23.1117,1.34961,0.99458,-0.288361
1581157543.446208070,0.10288,47.798,-2.1387,-23.0781,1.33377,1.01027,-0.27401
1581157543.450649275,0.650716,47.3994,-1.7771,-23.1009,1.33817,1.02428,-0.301044
1581157543.457303499,0.601848,47.4739,-1.80802,-23.2837,1.3637,1.03229,-0.289363
1581157543.463601199,0.47582,47.5022,-1.90749,-23.1614,1.36194,1.02061,-0.302379
1581157543.470407287,0.429524,47.1936,-1.98277,-23.074,1.35314,1.00626,-0.292033
1581157543.509760319,0.434668,47.2528,-1.8927,-23.0162,1.38307,1.00092,-0.285358
1581157543.516418492,0.434668,47.3711,-1.87792,-23.2488,1.39187,1.0136,-0.305383
