timestamp,x,y,z,a,b,c
1581158555.934046778,0.000423443,-6.81514e-05,-1.21514e-15,-nan,-nan,-nan
1581158555.940925095,0.000406206,-6.47873e-05,-1.14922e-15,-nan,-nan,-nan
1581158555.947162278,0.000392426,-6.16913e-05,-1.0435e-15,-nan,-nan,-nan
1581158555.953955184,0.000327433,-5.41278e-05,-9.65172e-16,-nan,-nan,-nan
1581158555.967133003,0.000361985,-5.91028e-05,-1.11161e-15,-nan,-nan,-nan
1581158555.973953553,0.000387703,-7.04476e-05,-1.6004e-15,-nan,-nan,-nan
1581158555.981949273,0.000396151,-7.93968e-05,-2.01551e-15,-nan,-nan,-nan
1581158555.988386935,0.000412562,-9.22638e-05,-2.75913e-15,-nan,-nan,-nan
1581158555.995225829,0.00044834,-9.75381e-05,-2.82718e-15,-nan,-nan,-nan
1581158556.001954559,0.000370289,-9.56566e-05,-3.25609e-15,-nan,-nan,-nan
1581158556.008276390,0.000438999,-0.000111484,-3.65875e-15,-nan,-nan,-nan
1581158556.019536171,0.000381086,-0.000103059,-3.57809e-15,-nan,-nan,-nan
1581158556.058936687,0.000578448,-0.00028989,-6.06288e-15,-nan,-nan,-nan
1581158556.065300917,-0.00175322,-0.000713345,-5.99778e-15,-nan,-nan,-nan
1581158556.071913991,-0.00227126,-0.000697921,-5.40283e-15,-nan,-nan,-nan
1581158556.078261888,-0.00397525,-0.00150618,-4.03331e-14,-nan,-nan,-nan
1581158556.086049465,-0.00470205,-0.00180726,-5.58638e-14,-nan,-nan,-nan
1581158556.092963283,-0.00720582,-0.00239164,-8.83371e-14,-nan,-nan,-nan
1581158556.099220300,-0.00997631,-0.00269363,-9.97666e-14,-nan,-nan,-nan
1581158556.105959015,-0.0112673,-0.00239397,-8.81682e-14,-nan,-nan,-nan
1581158556.112234526,-0.0142386,-0.00280279,-1.05527e-13,-nan,-nan,-nan
1581158556.118833633,-0.0154073,-0.00283803,-1.12056e-13,-nan,-nan,-nan
1581158556.125209566,-0.0182799,-0.00356056,-1.47239e-13,-nan,-nan,-nan
1581158556.169108965,-0.0190839,-0.00311367,-1.19e-13,-nan,-nan,-nan
1581158556.175919678,-0.0213067,-0.00246664,-8.05255e-14,-nan,-nan,-nan
1581158556.183388957,-0.0207365,-0.00238977,-7.90974e-14,-nan,-nan,-nan
1581158556.190358889,-0.0183248,-0.00250142,-7.93139e-14,-nan,-nan,-nan
1581158556.197053114,-0.0166508,-0.00252708,-8.44943e-14,-nan,-nan,-nan
1581158556.203313418,-0.0193258,-0.00306286,-1.12627e-13,-nan,-nan,-nan
1581158556.242904232,-0.0167462,-0.00322934,-1.2234e-13,-nan,-nan,-nan
1581158556.248941745,-0.0142576,-0.00234048,-7.4662e-14,-nan,-nan,-nan
1581158556.255185197,-0.0142042,-0.00237776,-7.12412e-14,-nan,-nan,-nan
1581158556.261275269,-0.0174516,-0.00262297,-7.46104e-14,-nan,-nan,-nan
1581158556.268150923,-0.0143168,-0.00194595,-5.5377e-14,-nan,-nan,-nan
1581158556.312630135,-0.00358139,-0.000709917,-2.58954e-14,-nan,-nan,-nan
