timestamp,va1,va2,va3,va4,va5,va6,va7
1581156920.650475075,0,5.11238e-05,4.25928e-05,-0.00117582,-0.00518038,-0.000800903,0.00568308
1581156920.656667318,-9.14454e-06,6.40451e-05,-1.82891e-05,-0.00118033,-0.00573876,-0.000713691,0.00551734
1581156920.663438793,-1.86947e-05,4.67283e-05,0,-0.000943768,-0.00494871,-0.000607383,0.00395261
1581156920.669759388,0,8.16012e-05,0,-0.0010789,-0.00554146,-0.000661854,0.004633
1581156920.676477632,0,2.84911e-05,0,-0.000911699,-0.0049535,-0.000512823,0.00374171
1581156920.683163487,0,7.03095e-05,1.75694e-05,-0.000958075,-0.00516134,-0.000580125,0.00416634
1581156920.689514362,-1.92241e-05,6.73194e-05,0,-0.000932912,-0.00487806,-0.0006636,0.00388551
1581156920.696156782,0,5.3154e-05,-1.77073e-05,-0.000956741,-0.00514513,-0.000664409,0.00434963
1581156920.703572032,-9.51584e-06,5.71297e-05,0,-0.000809314,-0.00476828,-0.000580813,0.00393231
1581156920.748086101,-0.000927177,-0.000530747,4.69447e-05,-0.00346485,-0.0110416,-0.0037061,0.0130574
1581156920.754325329,-0.00368928,-0.004277,1.80907e-05,-0.0168096,-0.0368347,-0.00832796,0.0454014
1581156920.760669670,-0.00475959,-0.0140503,-0.000152306,-0.0300425,-0.0579832,-0.0105758,0.069747
1581156920.767483829,-0.00432174,-0.017826,-0.00016364,-0.0371342,-0.0605544,-0.00916324,0.0666067
1581156920.773530117,-0.00428434,-0.0206731,-0.000234508,-0.0419144,-0.0629356,-0.00984947,0.0664479
1581156920.780197393,-0.00698792,-0.031526,-0.000236399,-0.0596006,-0.085073,-0.0129924,0.0925356
1581156920.786528740,-0.0074928,-0.0314933,0.000135907,-0.0557112,-0.0764392,-0.0130286,0.0885364
1581156920.792659299,-0.00943191,-0.0473441,0.000301125,-0.0769706,-0.105902,-0.021943,0.11599
1581156920.799171353,-0.00805952,-0.0456027,-4.85003e-05,-0.0723514,-0.0992514,-0.0240816,0.100342
1581156920.806603151,-0.00755466,-0.0473544,-3.10534e-05,-0.0726505,-0.103209,-0.0241858,0.111286
1581156920.812831805,-0.0113077,-0.0664553,5.75472e-05,-0.0958706,-0.13573,-0.0309211,0.148266
1581156920.889906802,-0.0126246,-0.070366,2.26861e-05,-0.0973494,-0.13397,-0.025677,0.14617
1581156920.896491358,-0.0103106,-0.063926,-4.64514e-05,-0.0900463,-0.117991,-0.0254236,0.131902
1581156920.904272652,-0.00957901,-0.060031,-0.000122122,-0.0856005,-0.114661,-0.0225317,0.127275
1581156920.910703559,-0.0125665,-0.0756464,-0.000150121,-0.111951,-0.148898,-0.0277029,0.164654
1581156920.917739894,-0.011019,-0.0628377,2.60709e-05,-0.0952429,-0.126875,-0.0212298,0.143264
1581156920.924428553,-0.0101154,-0.0600597,-9.4394e-06,-0.0869586,-0.118461,-0.0180491,0.130802
1581156920.930705738,-0.0117555,-0.0683493,2.72969e-05,-0.0965188,-0.133801,-0.0196077,0.150783
1581156920.937812250,-0.0111543,-0.0611942,3.3367e-05,-0.0892509,-0.12063,-0.0167106,0.133459
1581156920.944397117,-0.0117531,-0.0589297,9.6598e-06,-0.0897622,-0.11968,-0.0165181,0.136021
1581156920.950785499,-0.012567,-0.0630424,3.60302e-05,-0.0963743,-0.131367,-0.0230171,0.144751
1581156920.957298746,-0.0116801,-0.0588144,7.70409e-05,-0.0886261,-0.121034,-0.0284636,0.133478
1581156920.963461011,-0.0114227,-0.0609178,6.74152e-05,-0.0901391,-0.121169,-0.0322262,0.132883
1581156921.050111785,-0.0117805,-0.0629521,-2.6858e-05,-0.0936059,-0.123176,-0.0250431,0.137809
1581156921.056390522,-0.0110275,-0.0567697,0.000225421,-0.0839733,-0.10849,-0.023642,0.122601
1581156921.062471076,-0.0118779,-0.0609854,-2.90185e-05,-0.0902931,-0.115018,-0.0262029,0.128055
1581156921.069434109,-0.0117455,-0.0638835,-0.00010364,-0.0939814,-0.117814,-0.026531,0.131127
