timestamp,fx,fy,fz,tx,ty,tz
1581072654.215425827,-2.46031,3.05796,-1.51219,1.98023,1.72929,0.219294
1581072654.222307543,-2.37934,3.1264,-1.07656,1.99144,1.71707,0.219768
1581072654.229995124,-2.32014,3.05459,-0.757918,1.96115,1.68557,0.221814
1581072654.294924260,-2.06576,2.65245,0.760881,1.86103,1.46755,0.224604
1581072654.301106350,-1.83422,2.48553,0.746722,1.81832,1.42439,0.228825
1581072654.307147375,-2.1969,2.59856,0.392798,1.90537,1.5092,0.220616
1581072654.313240714,-2.17575,2.78199,0.126128,1.95209,1.52668,0.219222
1581072654.319901439,-2.09687,3.07192,0.0822855,2.03389,1.55505,0.214714
1581072654.325988821,-2.13096,3.33153,0.289919,2.11617,1.59824,0.20988
1581072654.333992461,-2.4333,3.72705,0.500205,2.24639,1.69015,0.198176
1581072654.339270546,-2.31404,3.7877,0.673796,2.25072,1.67965,0.198848
1581072654.401085576,-2.24651,3.78168,0.750771,2.33292,1.76019,0.205767
1581072654.407331350,-2.17777,3.79188,0.567525,2.31237,1.74214,0.2098
1581072654.413978976,-1.59567,3.80071,0.982957,2.30561,1.6787,0.214001
1581072654.420087983,-1.55187,3.66089,1.19845,2.28153,1.66582,0.217269
1581072654.426405191,-1.60042,3.69876,1.31364,2.32119,1.6927,0.21615
1581072654.433853353,-1.88992,3.74078,1.11921,2.36029,1.74199,0.215002
1581072654.440946071,-2.097,3.71909,0.847684,2.35038,1.75567,0.216072
1581072654.447123525,-1.75468,3.72155,1.02411,2.33694,1.71093,0.219611
1581072654.454033158,-1.58492,3.85711,1.11066,2.39329,1.7203,0.215952
1581072654.460336687,-1.76404,4.01066,1.11988,2.44482,1.75933,0.210641
1581072654.467005685,-1.89877,4.12678,1.15679,2.48332,1.78641,0.204448
1581072654.511428354,-1.98766,4.12602,1.00037,2.47679,1.79231,0.201696
1581072654.515467982,-2.07502,3.99552,0.997914,2.44511,1.79513,0.196348
1581072654.522097530,-2.17179,4.02513,0.830875,2.48045,1.8248,0.193553
1581072654.529214023,-2.09421,3.94945,0.64382,2.45449,1.80316,0.194256
1581072654.570274809,-1.9958,3.9251,0.731552,2.4592,1.79814,0.19291
1581072654.576395962,-1.9351,4.52676,1.48116,2.64536,1.84428,0.17855
1581072654.582927065,-1.92596,4.57868,1.50238,2.66059,1.84492,0.179009
1581072654.589125673,-2.19196,4.48098,1.23665,2.64561,1.86707,0.179157
1581072654.595925143,-2.22627,4.41502,0.945473,2.64982,1.87382,0.178552
1581072654.602144479,-2.00965,4.28434,0.88774,2.61322,1.837,0.181483
1581072654.608757652,-1.97633,4.25627,0.982628,2.62391,1.83802,0.17996
1581072654.615000198,-2.37072,4.27325,0.812325,2.65773,1.89279,0.174354
1581072654.662214476,-2.2053,4.55409,1.14134,2.73865,1.88485,0.174303
1581072654.669089582,-1.87309,4.50847,1.38022,2.74313,1.85111,0.178137
1581072654.675199659,-1.8309,4.60777,1.57387,2.7936,1.8687,0.175883
1581072654.682139825,-2.14275,4.72417,1.28182,2.85209,1.92582,0.172292
1581072654.688056026,-2.25005,4.82384,1.2849,2.87591,1.94445,0.169367
1581072654.694952644,-2.33319,4.84513,1.3457,2.87902,1.95281,0.168299
1581072654.734072555,-2.1189,4.60969,1.23685,2.82237,1.90536,0.165648
1581072654.740174854,-2.08256,4.5721,1.18354,2.82371,1.90234,0.164975
1581072654.746238168,-2.06654,4.59273,1.07612,2.82818,1.89817,0.164694
1581072654.752462047,-2.16858,4.55419,0.973891,2.80253,1.88921,0.163649
1581072654.758379921,-1.88955,4.55845,1.34615,2.79051,1.84767,0.16427
1581072654.765032490,-1.77711,4.59127,1.53928,2.80142,1.83382,0.161988
1581072654.808114074,-2.30111,5.08778,1.11769,2.99043,1.939,0.147414
1581072654.815011223,-2.18513,5.08216,0.904338,2.97634,1.91661,0.151316
1581072654.820959566,-2.17003,4.95692,0.771682,2.93188,1.89426,0.15571
1581072654.827415036,-2.18701,4.9029,0.85395,2.92312,1.89124,0.157164
1581072654.835105896,-2.2402,4.9059,0.885491,2.95254,1.9096,0.155172
1581072654.841228962,-2.13611,4.85968,1.00118,2.92313,1.88219,0.15688
1581072654.848144548,-2.19414,4.88727,1.19556,2.92724,1.88363,0.157581
1581072654.854223424,-1.94217,4.87575,1.31427,2.90995,1.84573,0.158792
1581072654.860903601,-1.89453,4.99592,1.28951,2.95174,1.85512,0.157644
1581072654.867062087,-1.85458,4.9311,1.47798,2.9276,1.83669,0.158747
1581072654.873322122,-1.95564,4.93024,1.25943,2.93186,1.8477,0.160001
1581072654.916038276,-2.04564,5.06491,1.23122,2.99436,1.8817,0.15664
1581072654.922960282,-2.06701,5.15054,1.23996,3.0375,1.90371,0.152833
1581072654.930108005,-2.31304,5.18302,1.10022,3.06438,1.94142,0.149034
1581072654.936886281,-2.34761,5.17855,0.994797,3.06546,1.94305,0.147191
1581072654.943263137,-2.25393,5.11033,1.03366,3.04258,1.92368,0.147879
1581072654.949909768,-2.18425,5.04241,1.27627,3.02785,1.90779,0.148318
1581072654.956253603,-2.02132,4.95599,1.29604,3.01093,1.88295,0.150809
1581072654.962937276,-2.13752,5.08766,1.04886,3.06637,1.9144,0.149723
1581072654.969113260,-2.14092,5.07007,0.999552,3.05316,1.90377,0.152396
1581072654.975879861,-2.03195,5.16593,1.32017,3.06876,1.89,0.155719
1581072654.982291430,-1.94779,5.25724,1.46159,3.10966,1.8963,0.15557
1581072655.027019513,-1.89768,5.38141,1.72442,3.14248,1.8972,0.155464
1581072655.032801955,-2.41084,5.49164,0.961189,3.22582,1.97747,0.145604
1581072655.039117225,-2.12111,5.39631,1.13226,3.16269,1.91808,0.149802
1581072655.045391476,-2.10361,5.36124,1.20318,3.15489,1.9125,0.14887
1581072655.052240042,-1.94218,5.37491,1.33202,3.17143,1.90179,0.146177
1581072655.058397178,-2.10734,5.35881,1.27549,3.1607,1.91171,0.144901
1581072655.064960351,-2.19132,5.29873,1.05743,3.1386,1.90972,0.145371
1581072655.071210481,-1.93085,5.20419,1.1589,3.09367,1.86129,0.147804
1581072655.121085970,-1.81654,5.44154,1.2038,3.22988,1.89201,0.123358
1581072655.127414367,-2.11357,5.46834,1.06607,3.23521,1.91987,0.120996
1581072655.135101438,-2.16022,5.43901,1.10228,3.21392,1.91412,0.122637
1581072655.141258486,-2.12139,5.38932,1.03218,3.20267,1.90568,0.124207
1581072655.185112552,-2.12177,6.08189,0.980705,3.46382,1.97789,0.126825
1581072655.191131422,-2.07995,6.05733,1.16993,3.44497,1.95731,0.129657
1581072655.197992696,-1.92399,5.92373,1.41672,3.39267,1.91512,0.135579
1581072655.204067756,-1.89838,5.94878,1.37132,3.42043,1.92153,0.134229
1581072655.210957177,-1.79432,5.92952,1.38635,3.42999,1.91203,0.134669
1581072655.216931177,-2.06047,5.9942,1.25676,3.45922,1.94801,0.1319
1581072655.223225810,-2.21613,6.12328,1.14343,3.48328,1.96613,0.130999
1581072655.231300342,-1.90781,5.87903,1.15437,3.38043,1.89425,0.140075
1581072655.237809382,-1.96296,5.6662,1.14008,3.33076,1.88572,0.142343
1581072655.244452994,-2.18631,5.53843,0.888753,3.32601,1.90924,0.141522
1581072655.251003495,-2.10324,5.38539,0.793331,3.27739,1.8839,0.144485
1581072655.257060574,-1.97386,5.29345,0.790217,3.25449,1.8609,0.146731
1581072655.333852199,-1.86118,6.10314,1.42735,3.54282,1.8947,0.125466
1581072655.339052285,-1.94188,6.09841,1.27139,3.55393,1.91002,0.124976
1581072655.345245407,-2.19928,5.9163,1.02211,3.49185,1.91575,0.129634
1581072655.351343646,-2.29146,5.68763,1.01567,3.41155,1.89522,0.134954
1581072655.357816779,-2.0271,5.64768,1.24413,3.40008,1.8651,0.137184
1581072655.364100356,-1.95567,5.71419,1.41601,3.43149,1.86908,0.134539
1581072655.370209923,-2.10337,5.85232,1.53668,3.48093,1.89869,0.129784
1581072655.377122456,-2.37507,6.03759,1.45152,3.53988,1.94251,0.124085
1581072655.383252594,-2.35306,6.05338,1.15522,3.51824,1.92635,0.126704
1581072655.389374445,-2.14871,5.99644,1.27572,3.47272,1.88211,0.130698
1581072655.395863934,-1.92796,5.95975,1.38241,3.4678,1.85522,0.130491
1581072655.477015509,-2.15077,5.68021,0.861068,3.4261,1.84802,0.120198
1581072655.483268401,-1.96034,5.67975,1.0655,3.40344,1.81283,0.121375
1581072655.489229742,-2.15209,5.75081,1.05085,3.43094,1.83774,0.117433
1581072655.495909073,-2.0048,5.90969,1.02891,3.48558,1.83776,0.112771
1581072655.502207644,-1.90895,6.01789,1.05684,3.52376,1.83834,0.110373
1581072655.509002398,-2.07259,6.1294,1.07876,3.56175,1.86338,0.107278
1581072655.515273986,-1.98674,6.13275,1.30922,3.54548,1.84385,0.109723
1581072655.522148474,-1.75276,6.13398,1.4675,3.55314,1.82274,0.111107
1581072655.530894129,-1.83697,6.21742,1.44423,3.59134,1.84228,0.10988
1581072655.537094734,-2.03198,6.23007,1.3716,3.61316,1.87072,0.109821
1581072655.543882482,-2.002,6.15627,1.25572,3.57449,1.85191,0.116126
1581072655.550063367,-1.85222,6.12797,1.30101,3.56681,1.83407,0.119855
1581072655.592844357,-1.98141,6.40102,1.47848,3.67489,1.884,0.115666
1581072655.599204553,-2.26158,6.34577,1.30212,3.67065,1.91296,0.113525
1581072655.606111310,-2.23331,6.19051,1.15081,3.62437,1.89653,0.11574
1581072655.612145510,-1.91022,6.03245,1.20593,3.56239,1.84103,0.121505
1581072655.618925832,-1.78625,5.87179,1.30845,3.52612,1.81781,0.124587
1581072655.625041514,-1.62947,5.9338,1.3436,3.55886,1.81215,0.12296
1581072655.631993180,-1.89374,6.08037,1.02863,3.62253,1.85981,0.118156
1581072655.638393594,-1.95402,6.15951,1.16564,3.62775,1.8605,0.118897
1581072655.646135993,-1.83945,6.15163,1.51735,3.59701,1.82985,0.122291
1581072655.652334582,-1.78549,6.21878,1.58952,3.6249,1.83213,0.120807
1581072655.659176982,-1.54357,6.27612,1.63536,3.65039,1.8138,0.120309
1581072655.702165763,-1.73293,6.39207,1.34398,3.70899,1.85458,0.116056
1581072655.708314554,-2.05154,6.55324,0.954614,3.75237,1.89636,0.108906
1581072655.715146370,-1.81039,6.46863,1.12349,3.72948,1.86438,0.110699
1581072655.721212565,-1.70403,6.41809,1.22366,3.72932,1.85274,0.109845
1581072655.728930565,-1.83764,6.46344,1.16234,3.76657,1.87924,0.105346
1581072655.735266500,-1.82189,6.36233,1.19147,3.71252,1.85494,0.109302
1581072655.741990343,-1.91919,6.12435,1.26275,3.62484,1.83396,0.115331
1581072655.784113201,-1.71191,6.48706,1.14216,3.71832,1.82706,0.110447
1581072655.790255835,-1.90136,6.61431,1.00276,3.77988,1.86965,0.104016
1581072655.796246512,-1.92753,6.59343,0.975207,3.77181,1.86961,0.102674
1581072655.802931725,-1.90312,6.57397,1.0268,3.74809,1.85779,0.103966
1581072655.809208315,-1.90418,6.46331,1.02713,3.70541,1.84493,0.105522
1581072655.852092177,-1.72057,5.97234,1.25448,3.51709,1.75837,0.114324
1581072655.858370208,-1.74088,5.93719,0.94806,3.52553,1.76396,0.114798
1581072655.865056987,-1.50384,5.82837,0.846344,3.48294,1.72443,0.120779
1581072655.872012441,-1.48955,5.79273,1.09739,3.47002,1.71535,0.123267
1581072655.878114040,-1.49239,5.80308,1.40286,3.47519,1.71341,0.123268
1581072655.884399710,-1.70126,5.99983,1.25506,3.55449,1.75779,0.11698
1581072655.891046858,-1.6504,6.15531,1.16632,3.59288,1.76067,0.115075
1581072655.930995178,-1.89475,6.43949,0.952198,3.68593,1.79705,0.0991372
1581072655.936998849,-1.63535,6.34896,1.05723,3.65638,1.75965,0.10164
1581072655.943322906,-1.50799,6.15794,1.18237,3.60106,1.72685,0.106229
1581072655.949423478,-1.77519,6.16463,1.20267,3.62855,1.76239,0.103193
1581072655.959269792,-1.85964,6.10613,1.08386,3.60564,1.76056,0.105675
1581072655.999412014,-1.49485,5.82485,1.35362,3.50053,1.67977,0.122661
1581072656.006289905,-1.37194,5.8941,1.3627,3.54798,1.68198,0.119759
1581072656.012331822,-1.31766,5.99591,1.38538,3.59384,1.6899,0.116074
1581072656.019237095,-1.6455,6.17479,1.12556,3.65465,1.73966,0.110301
1581072656.026164795,-1.8383,6.2591,0.912291,3.66079,1.7575,0.109646
1581072656.033375665,-1.47755,6.30585,1.15776,3.65091,1.71429,0.111489
1581072656.040172467,-1.44628,6.39649,1.34543,3.69174,1.72224,0.108282
1581072656.046390784,-1.49491,6.5067,1.27111,3.75443,1.75016,0.102796
1581072656.052964654,-1.60293,6.50323,1.4036,3.74585,1.75748,0.103946
1581072656.059243322,-1.7743,6.44276,1.35564,3.72055,1.76712,0.106129
1581072656.065414862,-1.71116,6.36569,1.47155,3.68467,1.74869,0.109832
1581072656.109261903,-1.47561,6.36655,1.3053,3.70897,1.72716,0.111964
1581072656.115480846,-1.71306,6.4045,1.1536,3.74311,1.76148,0.107232
1581072656.122127130,-1.55482,6.34773,1.29688,3.70805,1.73161,0.110089
1581072656.129209727,-1.24924,6.264,1.37229,3.66651,1.68604,0.114258
1581072656.174414936,-1.49726,6.79651,1.3226,3.88722,1.77128,0.0869756
1581072656.180916156,-1.52307,6.90234,1.15991,3.91148,1.77879,0.0855945
1581072656.187157451,-1.61924,6.94034,1.09786,3.9097,1.78606,0.0855478
1581072656.193451165,-1.48733,6.85936,1.20891,3.87224,1.76006,0.0888113
1581072656.199994483,-1.41032,6.74868,1.32304,3.83678,1.74098,0.0917556
1581072656.206406761,-1.46937,6.64477,1.22103,3.82197,1.74285,0.0918459
1581072656.212408543,-1.56924,6.48238,1.04089,3.76794,1.73607,0.0953101
1581072656.219172885,-1.39568,6.36333,1.17021,3.71585,1.70012,0.0999937
1581072656.262240779,-1.23635,6.24481,1.43285,3.64945,1.64084,0.0995948
1581072656.268960598,-1.10657,6.37949,1.66815,3.69992,1.63903,0.0950502
1581072656.275302971,-1.38232,6.47146,1.56196,3.7363,1.67692,0.0898833
1581072656.282333431,-1.47559,6.43135,1.43504,3.70733,1.67689,0.0905055
1581072656.320465520,-1.51791,6.42467,1.27163,3.6998,1.6685,0.0848085
1581072656.327143824,-1.37301,6.44296,1.21165,3.71442,1.65521,0.084138
1581072656.335477215,-1.13163,6.40471,1.26026,3.71182,1.62758,0.0851455
1581072656.340934559,-1.35142,6.4184,1.36238,3.72511,1.64748,0.0841658
1581072656.347159539,-1.5756,6.33766,1.37397,3.69615,1.65743,0.0857919
1581072656.353290555,-1.44497,6.2583,1.52945,3.65955,1.62873,0.0901888
1581072656.359399183,-1.15769,6.23018,1.63738,3.65578,1.59711,0.0927612
1581072656.402212215,-1.58709,6.85045,1.46097,3.89995,1.70971,0.0737615
1581072656.409020532,-1.61002,6.84288,1.22147,3.8937,1.70879,0.0743612
1581072656.415260314,-1.53377,6.79657,1.10717,3.86785,1.6933,0.0775692
1581072656.421446005,-1.44838,6.66326,0.999393,3.82813,1.6739,0.0816844
1581072656.429055107,-1.47238,6.62942,1.13565,3.83165,1.67467,0.0812957
1581072656.435957667,-1.42194,6.57817,1.11502,3.83376,1.66883,0.0812983
1581072656.442243700,-1.4285,6.56096,1.23304,3.82439,1.66287,0.0826625
1581072656.448469130,-1.46427,6.46843,1.37285,3.78733,1.65145,0.0864765
1581072656.455085842,-1.41978,6.52661,1.36941,3.81477,1.65235,0.0856076
1581072656.461298336,-1.2783,6.51952,1.42853,3.80551,1.63059,0.0889944
1581072656.467974991,-1.23238,6.54948,1.5754,3.81501,1.62536,0.0894069
1581072656.474215068,-1.30122,6.54001,1.49641,3.81046,1.62893,0.090669
1581072656.517404352,-1.33885,6.70549,1.26977,3.86734,1.6405,0.0919035
1581072656.523930315,-1.23211,6.7555,1.38366,3.88306,1.63277,0.0910802
1581072656.531408912,-1.45607,6.80485,1.31195,3.91076,1.66051,0.0868392
1581072656.538184530,-1.5997,6.80018,1.26762,3.90672,1.671,0.0855104
1581072656.544425253,-1.60807,6.70447,1.29932,3.87117,1.65924,0.0877677
1581072656.551106065,-1.26661,6.46465,1.4704,3.79577,1.60364,0.0937934
1581072656.557362070,-1.13156,6.35278,1.52907,3.78477,1.58791,0.094695
1581072656.597245587,-1.32766,6.45615,1.27707,3.84581,1.62413,0.0901764
1581072656.604985627,-1.29031,7.00997,1.49797,3.97409,1.62351,0.0931009
1581072656.611073199,-1.12449,7.00717,1.62971,3.96033,1.59703,0.0970414
1581072656.617378349,-1.155,7.00185,1.75714,3.96509,1.59734,0.0971197
1581072656.661190457,-1.16809,6.8955,1.77067,3.93879,1.58934,0.0980398
1581072656.667480812,-1.28954,6.74996,1.36671,3.89408,1.57545,0.0892958
1581072656.674161689,-1.42103,6.59808,1.20473,3.85889,1.57582,0.0883541
1581072656.680230188,-1.36697,6.40626,1.36293,3.78228,1.54532,0.0927114
1581072656.687322588,-1.0537,6.24582,1.75213,3.74458,1.50308,0.0932754
1581072656.693480356,-1.0449,6.3517,1.84845,3.80898,1.51747,0.0862916
1581072656.700266612,-1.01582,6.49732,1.91234,3.85318,1.52287,0.0828236
1581072656.706486965,-1.07207,6.60758,1.83891,3.86634,1.52769,0.0816602
1581072656.745366419,-1.36941,6.79261,1.16079,3.91201,1.56754,0.0759175
1581072656.751594696,-1.14392,6.73608,1.13921,3.89022,1.54002,0.0780471
1581072656.758199233,-1.10693,6.69852,1.32448,3.88739,1.53617,0.0779238
1581072656.764160520,-1.23279,6.75073,1.33448,3.91443,1.55602,0.0736789
1581072656.808191942,-1.285,6.93702,1.49213,3.97438,1.56707,0.0634389
1581072656.814359370,-1.14793,7.02609,1.59767,3.9921,1.55419,0.0640746
1581072656.821081053,-1.11762,7.0171,1.4596,3.99343,1.55109,0.0661681
1581072656.827448056,-1.1742,7.02039,1.53207,4.00003,1.55627,0.0664392
1581072656.835043282,-1.40006,7.05549,1.62888,4.03436,1.58684,0.0631469
1581072656.841381990,-1.41555,7.00916,1.52191,4.01548,1.5824,0.065924
1581072656.848044286,-1.14876,6.98421,1.58525,3.99168,1.54785,0.0708995
1581072656.854390684,-1.00224,6.98316,1.61605,3.99821,1.5341,0.072244
1581072656.861019537,-1.24498,7.13168,1.42143,4.05705,1.57072,0.0679647
1581072656.867365422,-1.40383,7.24157,1.40077,4.08554,1.59062,0.0656219
1581072656.873468609,-1.44068,7.2428,1.53651,4.05446,1.58023,0.0688819
1581072656.916564273,-1.21735,7.08777,1.75602,3.98796,1.53854,0.0755519
1581072656.922407437,-1.04227,6.78722,1.77773,3.97216,1.51717,0.071476
1581072656.929496658,-1.32351,7.05824,1.64493,4.05713,1.56555,0.0626997
1581072656.936074058,-1.33165,7.12872,1.70307,4.059,1.56047,0.0615903
1581072656.942345984,-1.23242,7.17391,1.84319,4.06873,1.55004,0.0609973
1581072656.948471511,-0.978542,7.21682,1.79988,4.09889,1.53347,0.0593181
1581072656.955003500,-0.867688,7.21651,1.85077,4.11765,1.52562,0.0573987
1581072656.961204080,-1.06446,7.27678,1.74708,4.15723,1.55442,0.0533812
1581072656.967285721,-1.50281,7.31745,1.39152,4.16943,1.59885,0.0514033
1581072657.008376723,-1.36235,7.16449,1.49683,4.10175,1.56259,0.057903
1581072657.014479319,-1.06598,7.35098,1.83035,4.18197,1.54314,0.060624
1581072657.021130285,-1.08143,7.32945,2.00921,4.1711,1.54206,0.0631468
1581072657.064290874,-1.25756,7.53339,1.35968,4.27169,1.58128,0.0569725
1581072657.071076561,-1.25278,7.55577,1.33503,4.2541,1.57276,0.0576478
1581072657.077142873,-1.31018,7.40313,1.45556,4.20002,1.56253,0.0594684
1581072657.084040482,-1.24749,7.25193,1.72174,4.16267,1.54559,0.0596183
1581072657.090441102,-1.29463,7.18862,1.60085,4.17152,1.5545,0.0569066
1581072657.096964117,-1.08648,7.13325,1.56414,4.16012,1.52904,0.0573485
