timestamp,va1,va2,va3,va4,va5,va6,va7
1581223101.938534987,-0.00761302,-0.0432062,-0.000167421,-0.070034,-0.0959183,-0.0185451,0.107922
1581223101.944603681,-0.00776816,-0.0473213,-0.000156143,-0.0738463,-0.1014,-0.0202011,0.112355
1581223101.952452216,-0.0102026,-0.056965,5.38974e-05,-0.0840538,-0.116868,-0.0248327,0.122084
1581223101.958767230,-0.0125544,-0.0683983,0.000294619,-0.0978218,-0.139956,-0.0304689,0.155034
1581223101.999765461,-0.0122513,-0.0712101,-1.31896e-05,-0.0981558,-0.13872,-0.0267097,0.149862
1581223102.006279364,-0.0117757,-0.0700341,-1.93904e-05,-0.0960279,-0.133284,-0.0201496,0.142016
1581223102.012442915,-0.0110185,-0.0650002,5.37505e-05,-0.0881122,-0.120784,-0.0191167,0.135223
1581223102.018482940,-0.0120536,-0.0715739,0.000179464,-0.0971865,-0.131587,-0.0217443,0.146707
1581223102.024681933,-0.0118478,-0.0685147,9.74298e-05,-0.096546,-0.130451,-0.0220393,0.144308
1581223102.031291695,-0.0132397,-0.0782392,0,-0.110315,-0.149814,-0.0282246,0.162728
1581223102.037295910,-0.0104827,-0.0635323,1.84454e-05,-0.088416,-0.118232,-0.0251234,0.131269
1581223102.043474493,-0.0105685,-0.0653863,-8.67091e-05,-0.0947509,-0.121512,-0.0268886,0.135108
1581223102.050720533,-0.0106953,-0.0646704,-7.60354e-05,-0.0956158,-0.124735,-0.0263243,0.139377
1581223102.097431523,-0.0106902,-0.0623365,-1.17021e-05,-0.0922904,-0.124933,-0.022821,0.140697
1581223102.103930560,-0.0121789,-0.0653075,0.000134826,-0.0967299,-0.131025,-0.0219939,0.145113
1581223102.110559486,-0.0109395,-0.0577935,9.37666e-06,-0.0877317,-0.118319,-0.0214286,0.131349
1581223102.117218614,-0.0119439,-0.0621045,-7.04048e-05,-0.0954628,-0.128251,-0.0259033,0.138987
1581223102.123669055,-0.0110587,-0.0574517,-2.86503e-05,-0.0873331,-0.120481,-0.0268541,0.133268
1581223102.129714114,-0.0116329,-0.0641614,2.7096e-05,-0.0977775,-0.133785,-0.0314666,0.142548
1581223102.136414834,-0.0107871,-0.0602053,0,-0.0886658,-0.120384,-0.0287302,0.133288
1581223102.142783850,-0.011479,-0.0655994,-7.96563e-05,-0.0943899,-0.126922,-0.0294011,0.140748
1581223102.154716665,-0.012523,-0.0626252,3.5431e-05,-0.0929254,-0.124635,-0.027582,0.139869
1581223102.161265245,-0.0117339,-0.0577899,1.87206e-05,-0.0849725,-0.113005,-0.022373,0.127258
1581223102.167417860,-0.014536,-0.0716415,0.000137124,-0.105983,-0.138401,-0.0248894,0.156859
1581223102.174464377,-0.0113847,-0.0559637,0,-0.0822551,-0.107152,-0.0188688,0.118742
1581223102.212701020,-0.0132082,-0.0627162,-5.52568e-05,-0.0928364,-0.118475,-0.0243365,0.133956
1581223102.218816516,-0.0144537,-0.0718548,-1.96982e-05,-0.106364,-0.133289,-0.0306796,0.151803
1581223102.225198026,-0.0111897,-0.0586347,0.000185254,-0.0848767,-0.108325,-0.0239541,0.122966
1581223102.231662843,-0.0104829,-0.0590151,0.000102417,-0.0861067,-0.111554,-0.0217292,0.118961
1581223102.238287210,-0.0127565,-0.0711672,-3.87276e-05,-0.104588,-0.133906,-0.0244773,0.149816
1581223102.244468563,-0.0101345,-0.058234,-0.000211321,-0.0848795,-0.106155,-0.0200392,0.119298
1581223102.251564013,-0.0109668,-0.0614878,4.18007e-05,-0.0898494,-0.11146,-0.0199275,0.126938
1581223102.257655943,-0.0128102,-0.0720965,0.000106744,-0.105665,-0.131534,-0.0237863,0.14626
1581223102.263680390,-0.0113412,-0.0641434,8.98535e-05,-0.0923466,-0.115935,-0.0215542,0.127319
1581223102.270531461,-0.0101608,-0.0553978,-4.42451e-05,-0.0813663,-0.102132,-0.0206226,0.116106
1581223102.323018794,-0.0127343,-0.0637221,-1.71905e-05,-0.0936808,-0.117009,-0.0269264,0.130608
1581223102.329795657,-0.0108979,-0.0558245,3.51221e-05,-0.0815633,-0.099281,-0.0196093,0.113555
1581223102.335843552,-0.0138366,-0.0706286,9.69747e-06,-0.104085,-0.128531,-0.0248495,0.143974
1581223102.342207055,-0.0114555,-0.0560338,9.98583e-05,-0.084727,-0.103916,-0.0206598,0.116615
1581223102.350315695,-0.0123243,-0.0625873,0.000118859,-0.0908017,-0.111847,-0.0232966,0.126244
1581223102.356626090,-0.012358,-0.0705579,-0.00011338,-0.100811,-0.124155,-0.0271442,0.140417
1581223102.363256547,-0.00992846,-0.0572448,-0.00028057,-0.0833375,-0.102003,-0.022201,0.11258
1581223102.369530934,-0.0103498,-0.0615195,-4.90874e-05,-0.0895838,-0.111236,-0.0249417,0.119622
1581223102.375587779,-0.0119526,-0.0706174,1.94239e-05,-0.103715,-0.128303,-0.029483,0.14141
1581223102.382139657,-0.010244,-0.0622249,0.000117078,-0.0901471,-0.110409,-0.0247222,0.117142
1581223102.388225700,-0.00954371,-0.0593073,0,-0.0855433,-0.104354,-0.0238132,0.112424
1581223102.428325176,-0.00934232,-0.062803,-7.47586e-06,-0.0918424,-0.10907,-0.0216367,0.121519
1581223102.434352078,-0.00857633,-0.0608526,-0.000128168,-0.0904262,-0.106181,-0.0240532,0.116185
1581223102.440711289,-0.00818893,-0.0594398,8.70161e-05,-0.0873518,-0.105004,-0.0255046,0.118522
1581223102.448162056,-0.00912797,-0.0697673,9.99443e-05,-0.10149,-0.120876,-0.0301489,0.133638
1581223102.454362445,-0.00766087,-0.0585195,3.66504e-05,-0.0839213,-0.101314,-0.0241464,0.110899
1581223102.460743582,-0.00909083,-0.0691773,-7.55119e-05,-0.100566,-0.117209,-0.029727,0.135711
1581223102.467544309,-0.00831861,-0.0609606,7.85606e-05,-0.090552,-0.100994,-0.0267826,0.11761
1581223102.473523667,-0.00908097,-0.0575679,0.00015642,-0.0843324,-0.0944787,-0.0241331,0.111704
1581223102.479422313,-0.0111512,-0.061312,0.000253876,-0.0885456,-0.101911,-0.02323,0.117527
1581223102.485609326,-0.0145743,-0.0721337,0.000145651,-0.103302,-0.119173,-0.0264979,0.135645
1581223102.491963090,-0.0132868,-0.0613435,-0.000196563,-0.09117,-0.102096,-0.0206968,0.118559
1581223102.532565039,-0.0133393,-0.0611665,-9.26343e-05,-0.0894096,-0.1014,-0.0232512,0.117548
1581223102.539418423,-0.0140958,-0.0644519,0.000353505,-0.0943138,-0.105272,-0.0257436,0.125139
1581223102.546575054,-0.0115681,-0.0527547,0.000132966,-0.0748688,-0.0857107,-0.0199285,0.096584
1581223102.552634840,-0.0155504,-0.0711612,-5.84984e-05,-0.103159,-0.116884,-0.0280784,0.134065
1581223102.559342790,-0.0144206,-0.0662031,-0.000225182,-0.0961521,-0.106516,-0.0231666,0.125426
1581223102.565574768,-0.0131615,-0.0594664,-8.61962e-05,-0.0863259,-0.0969854,-0.0192921,0.110206
1581223102.571824323,-0.0151475,-0.0715191,1.93838e-05,-0.101834,-0.117472,-0.0236716,0.133816
1581223102.578404987,-0.0127801,-0.0617817,-9.80253e-06,-0.0884698,-0.103135,-0.0204402,0.109714
1581223102.584348258,-0.0109084,-0.0565768,-0.000137505,-0.0821427,-0.0948936,-0.0192959,0.100815
1581223102.590596880,-0.0109707,-0.0607166,-0.000193822,-0.0868834,-0.0986662,-0.0208462,0.112052
1581223102.596759530,-0.0118314,-0.0702509,8.73553e-05,-0.103299,-0.114653,-0.0254099,0.12537
1581223102.635851193,-0.00850442,-0.0630711,7.53542e-05,-0.0905852,-0.100961,-0.0269481,0.113372
1581223102.642540233,-0.00716861,-0.0568265,0,-0.0821057,-0.091153,-0.021749,0.103224
1581223102.649594545,-0.00808449,-0.0598436,-3.32655e-05,-0.0875405,-0.0964019,-0.0214838,0.109299
1581223102.656316672,-0.00959503,-0.0681466,-4.76489e-05,-0.0986372,-0.110071,-0.0222582,0.125822
1581223102.662585748,-0.00833763,-0.0576029,0,-0.0817362,-0.0901123,-0.0187093,0.103606
1581223102.668737555,-0.00943637,-0.0606611,4.79077e-05,-0.0858471,-0.0955709,-0.0201182,0.10586
1581223102.674749498,-0.0117184,-0.0724403,-4.90796e-05,-0.102531,-0.113816,-0.0250366,0.129943
1581223102.681533846,-0.0101497,-0.0569392,3.65879e-05,-0.0813443,-0.0914099,-0.0207933,0.102357
1581223102.687773881,-0.0120895,-0.0668872,-0.000102226,-0.0978032,-0.107421,-0.0263349,0.121499
1581223102.694152914,-0.0106415,-0.0582527,6.43234e-05,-0.0817413,-0.0919399,-0.0242605,0.105046
1581223102.733783204,-0.0114388,-0.0633199,-6.07487e-06,-0.0906252,-0.0988816,-0.0234761,0.112564
1581223102.740331997,-0.0112983,-0.0607394,-0.000136705,-0.0878476,-0.0935895,-0.019462,0.105073
1581223102.747722156,-0.0105309,-0.0549205,-9.21771e-05,-0.0801071,-0.0854763,-0.017083,0.0987801
1581223102.754264228,-0.0130927,-0.0689996,0.000116903,-0.101507,-0.107656,-0.0229414,0.121166
1581223102.760375394,-0.0101122,-0.0566833,0.000164712,-0.0817854,-0.0885263,-0.0202427,0.0974891
1581223102.766498206,-0.010975,-0.0627438,-1.97101e-05,-0.0872773,-0.0947577,-0.0238926,0.10975
1581223102.772969351,-0.0118418,-0.0690473,-0.000132957,-0.10011,-0.10142,-0.0290205,0.117478
1581223102.779325906,-0.00967323,-0.0558434,-7.25858e-05,-0.0815237,-0.0815673,-0.024174,0.0974582
