timestamp,x,y,z,a,b,c
1581302318.382682293,-0.000218278,0.000392564,2.10941e-17,-nan,-nan,-nan
1581302318.414711869,-0.000313338,0.000753881,-3.07087e-15,-nan,-nan,-nan
1581302318.420942303,0.000582517,0.00105644,-3.92964e-14,-nan,-nan,-nan
1581302318.464627466,0.00378826,-0.00274354,-3.82878e-14,-nan,-nan,-nan
1581302318.470775580,0.00946092,-0.00835644,-9.56234e-14,-nan,-nan,-nan
1581302318.477410227,0.00912231,-0.00802277,-1.03917e-13,-nan,-nan,-nan
1581302318.483768951,0.0123061,-0.0111979,-1.39906e-13,-nan,-nan,-nan
1581302318.489942891,0.0125197,-0.0116354,-1.37054e-13,-nan,-nan,-nan
1581302318.497732592,0.0138597,-0.0126623,-1.50899e-13,-nan,-nan,-nan
1581302318.504460640,0.0124776,-0.0120153,-1.23656e-13,-nan,-nan,-nan
1581302318.510685736,0.0144025,-0.0145863,-1.25617e-13,-nan,-nan,-nan
1581302318.516881498,0.0145561,-0.0156234,-9.05675e-14,-nan,-nan,-nan
1581302318.555813155,0.0138816,-0.0152142,-7.94158e-14,-nan,-nan,-nan
1581302318.562051915,0.0135804,-0.0143427,-9.8946e-14,-nan,-nan,-nan
1581302318.605473072,0.00226614,-0.00229711,-1.97374e-14,-nan,-nan,-nan
1581302318.611902397,0.0759406,-0.0731383,-7.08418e-13,-nan,-nan,-nan
1581302318.618574019,0.01043,-0.0101646,-7.887e-14,-nan,-nan,-nan
1581302318.625453747,0.0115002,-0.0115206,-8.64599e-14,-nan,-nan,-nan
1581302318.631584430,0.0113983,-0.0114434,-8.58767e-14,-nan,-nan,-nan
1581302318.637840971,0.0120474,-0.0118023,-9.47499e-14,-nan,-nan,-nan
1581302318.644431515,0.0105999,-0.00986583,-9.51112e-14,-nan,-nan,-nan
1581302318.650638420,0.0104153,-0.00983724,-8.88222e-14,-nan,-nan,-nan
1581302318.656814498,0.0119829,-0.0112469,-1.09236e-13,-nan,-nan,-nan
1581302318.663402536,0.0111827,-0.0104843,-1.0594e-13,-nan,-nan,-nan
1581302318.669640220,0.0114219,-0.0109472,-1.02305e-13,-nan,-nan,-nan
1581302318.675995444,0.0116954,-0.0108285,-1.11743e-13,-nan,-nan,-nan
1581302318.718908473,0.0113783,-0.0115246,-8.2437e-14,-nan,-nan,-nan
1581302318.725564247,0.0120778,-0.0119111,-1.00491e-13,-nan,-nan,-nan
1581302318.731825324,0.0116694,-0.0112076,-1.09772e-13,-nan,-nan,-nan
1581302318.738624747,0.0129711,-0.0124343,-1.25856e-13,-nan,-nan,-nan
1581302318.744757819,0.0113944,-0.0108583,-1.07136e-13,-nan,-nan,-nan
1581302318.750954602,0.0129151,-0.0122144,-1.26663e-13,-nan,-nan,-nan
1581302318.757636130,0.0119074,-0.0112829,-1.18939e-13,-nan,-nan,-nan
1581302318.763739325,0.0118408,-0.0111204,-1.19114e-13,-nan,-nan,-nan
1581302318.803781991,0.0117772,-0.0118091,-9.10973e-14,-nan,-nan,-nan
1581302318.809834908,0.0126663,-0.0123258,-1.10191e-13,-nan,-nan,-nan
1581302318.816571483,0.0116297,-0.0113115,-1.06097e-13,-nan,-nan,-nan
1581302318.822711699,0.0122292,-0.011731,-1.18092e-13,-nan,-nan,-nan
1581302318.865757253,0.0117936,-0.0117573,-9.38696e-14,-nan,-nan,-nan
1581302318.871889213,0.0121165,-0.0125062,-7.76726e-14,-nan,-nan,-nan
1581302318.878643845,0.011617,-0.0121799,-7.66274e-14,-nan,-nan,-nan
1581302318.885591300,0.0117305,-0.0120671,-8.22855e-14,-nan,-nan,-nan
1581302318.892972185,0.0107308,-0.0106792,-8.57269e-14,-nan,-nan,-nan
1581302318.899703834,0.0129659,-0.0121496,-1.27095e-13,-nan,-nan,-nan
1581302318.905824102,0.0129785,-0.0121483,-1.33562e-13,-nan,-nan,-nan
1581302318.912536460,0.0118241,-0.011157,-1.19602e-13,-nan,-nan,-nan
1581302318.918736379,0.0120746,-0.0113356,-1.21737e-13,-nan,-nan,-nan
1581302318.924976915,0.0123477,-0.0116313,-1.21517e-13,-nan,-nan,-nan
1581302318.931535298,0.0115149,-0.0110092,-1.0959e-13,-nan,-nan,-nan
1581302318.973834205,0.00283299,-0.00283088,-2.27614e-14,-nan,-nan,-nan
1581302318.980559001,0.0666152,-0.0688163,-4.54234e-13,-nan,-nan,-nan
1581302318.986792107,0.0131662,-0.0127889,-1.1563e-13,-nan,-nan,-nan
1581302318.994429925,0.010836,-0.0103388,-1.03344e-13,-nan,-nan,-nan
1581302319.000876781,0.0131364,-0.0126143,-1.22148e-13,-nan,-nan,-nan
1581302319.007572618,0.0108999,-0.0106573,-9.71756e-14,-nan,-nan,-nan
1581302319.013642985,0.0118462,-0.0117674,-1.01248e-13,-nan,-nan,-nan
1581302319.052934899,0.0118557,-0.0124753,-7.46221e-14,-nan,-nan,-nan
1581302319.059621105,0.011309,-0.0116611,-7.93559e-14,-nan,-nan,-nan
1581302319.065733532,0.0136672,-0.0135431,-1.14113e-13,-nan,-nan,-nan
1581302319.072431476,0.0110698,-0.0104954,-1.11021e-13,-nan,-nan,-nan
1581302319.078687420,0.0116374,-0.010855,-1.19328e-13,-nan,-nan,-nan
