timestamp,ta1,ta2,ta3,ta4,ta5,ta6,ta7
1581155511.966132736,0.48868,52.3273,-1.95723,-23.6212,1.36722,0.938843,-0.27401
1581155511.972305977,0.110596,51.7177,-2.12526,-23.4531,1.36634,0.917483,-0.277014
1581155512.016463457,0,48.2147,-2.04326,-22.6721,1.28975,0.810349,-0.274344
1581155512.023304201,0.0951639,48.0501,-2.01772,-22.5538,1.29239,0.827037,-0.268336
1581155512.061437498,0.29578,48.5593,-1.97336,-22.7541,1.28975,0.826369,-0.31139
1581155512.067999725,0.354936,48.0629,-1.91018,-22.5027,1.29679,0.79266,-0.325408
1581155512.074161513,0.532404,48.0835,-1.81877,-22.5995,1.30031,0.816023,-0.294369
1581155512.080284697,0.738164,48.1375,-1.67359,-22.7823,1.27654,0.834045,-0.312058
1581155512.086326568,0.895056,48.2095,-1.59831,-22.6439,1.30295,0.801338,-0.27935
1581155512.092564813,0.864192,48.1221,-1.6709,-22.6829,1.30384,0.810015,-0.287694
1581155512.098937400,0.743308,47.8906,-1.7193,-22.5296,1.33113,0.758618,-0.285024
1581155512.105286668,0.421808,48.261,-1.85775,-22.2648,1.33289,0.726911,-0.28469
1581155512.111540996,0.0874479,48.6236,-2.07283,-22.6157,1.32849,0.756949,-0.287026
1581155512.118087651,-0.285492,48.7805,-2.22608,-22.9262,1.33289,0.806344,-0.279016
1581155512.176368046,0.216048,48.3793,-1.95454,-22.5135,1.32496,0.726577,-0.291699
1581155512.182954349,0.146604,48.4076,-2.00293,-22.7635,1.34433,0.751609,-0.27935
1581155512.189352183,0.120884,48.4204,-2.08762,-22.5431,1.33729,0.734921,-0.303047
1581155512.195482591,0.110596,48.1041,-2.12257,-22.3804,1.32232,0.725576,-0.2927
1581155512.202157890,0.0643,47.7466,-2.01906,-22.1788,1.31792,0.72324,-0.297706
1581155512.208420757,0.043724,47.654,-2.00965,-22.2339,1.30384,0.745268,-0.292033
1581155512.215189112,0.018004,47.6206,-2.02041,-22.2446,1.31968,0.743265,-0.284023
1581155512.221504245,0.066872,47.582,-2.0809,-22.4745,1.28711,0.760954,-0.2927
1581155512.227887058,0.126028,47.3351,-2.05536,-22.3024,1.26334,0.779644,-0.270339
1581155512.234232135,0.259772,47.4122,-1.92631,-22.3307,1.26598,0.75795,-0.29804
1581155512.274584169,0.210904,48.3459,-1.97605,-22.5484,1.3144,0.76596,-0.315062
1581155512.317288135,0.203188,47.3556,-1.99487,-22.5014,1.30119,0.827037,-0.30338
1581155512.323576659,0.298352,47.3634,-1.95992,-22.3589,1.30295,0.818693,-0.301044
1581155512.334117227,0.390944,47.3119,-1.8927,-22.5041,1.30912,0.849732,-0.305383
1581155512.340384369,0.465532,47.672,-1.86313,-22.824,1.30384,0.927496,-0.315395
1581155512.344115752,0.3215,47.8263,-1.96529,-22.8469,1.32496,0.893453,-0.316397
1581155512.350458017,0.216048,47.8032,-2.011,-23.0216,1.33025,0.941513,-0.323072
1581155512.357029099,0.18004,48.1041,-2.04192,-22.9074,1.35666,0.92516,-0.301712
1581155512.363404756,0.10288,48.0681,-2.06073,-22.8482,1.33553,0.950191,-0.301044
1581155512.370085223,-0.015432,48.2353,-2.14273,-23.2112,1.36898,0.987571,-0.286359
1581155512.376525757,0.048868,48.2378,-2.1508,-23.1735,1.33817,1.00693,-0.281686
1581155512.383056919,0.069444,48.0038,-2.12391,-23.0781,1.32937,0.996583,-0.282688
1581155512.389289842,0.210904,48.0681,-2.02982,-23.0512,1.35754,1.01561,-0.270339
1581155512.433191577,0.056584,47.8752,-2.09703,-23.3241,1.38219,1.05065,-0.285691
1581155512.441098587,0.0977359,47.7054,-2.09837,-22.9705,1.33993,1.01394,-0.293701
1581155512.447349857,0.20576,47.4997,-2.04864,-23.0122,1.33465,0.993245,-0.285691
1581155512.454113084,0.365224,47.6849,-1.96395,-23.2501,1.36458,0.98657,-0.2927
1581155512.460411642,0.532404,48.2404,-1.85103,-23.2179,1.33905,0.995915,-0.293034
1581155512.467291903,0.570984,48.171,-1.80667,-23.1789,1.35578,0.980896,-0.298374
1581155512.474062202,0.673864,48.1375,-1.8349,-23.1843,1.32761,0.96521,-0.310723
1581155512.480167792,0.588988,47.8983,-1.89539,-23.0378,1.32761,0.937175,-0.309722
1581155512.520157267,0.131172,46.6843,-2.06746,-22.703,1.30912,0.866419,-0.307719
1581155512.526367431,0.182612,47.0316,-1.95588,-22.8254,1.34697,0.847062,-0.281353
1581155512.533189149,0.246912,47.2013,-1.95723,-22.746,1.32232,0.846728,-0.278349
1581155512.577218171,0.311212,47.0521,-1.96529,-22.6425,1.33201,0.836048,-0.277348
